"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Jun 05 18:14:14 GMT 2024","Wed Jun 05 18:14:14 GMT 2024","1","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenuWomenTopsSection","testNavigationMenuWomenTopsSection","TC-03 testNavigationMenuWomenTopsSection"
"skipped","Wed Jun 05 18:14:14 GMT 2024","Wed Jun 05 18:14:14 GMT 2024","0","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","TC-02 testTopNavigationMenu"
"skipped","Wed Jun 05 18:14:14 GMT 2024","Wed Jun 05 18:14:14 GMT 2024","1","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","TC-02 testTopNavigationMenu"
"skipped","Wed Jun 05 18:14:14 GMT 2024","Wed Jun 05 18:14:14 GMT 2024","1","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","TC-02 testTopNavigationMenu"
"skipped","Wed Jun 05 18:14:14 GMT 2024","Wed Jun 05 18:14:14 GMT 2024","1","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","TC-02 testTopNavigationMenu"
"skipped","Wed Jun 05 18:14:14 GMT 2024","Wed Jun 05 18:14:14 GMT 2024","0","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseUrl","TC-01 Open Base Url","TC-01 Open Base Url"
"skipped","Wed Jun 05 18:14:14 GMT 2024","Wed Jun 05 18:14:14 GMT 2024","1","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","TC-02 testTopNavigationMenu"
"skipped","Wed Jun 05 18:14:14 GMT 2024","Wed Jun 05 18:14:14 GMT 2024","0","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenuWomenSection","testNavigationMenuWomenSection","TC-03 testNavigationMenuWomenSection"
"skipped","Wed Jun 05 18:14:14 GMT 2024","Wed Jun 05 18:14:14 GMT 2024","1","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","TC-02 testTopNavigationMenu"
"skipped","Wed Jun 05 18:14:14 GMT 2024","Wed Jun 05 18:14:14 GMT 2024","1","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenuWomenSection","testNavigationMenuWomenSection","TC-03 testNavigationMenuWomenSection"
"broken","Wed Jun 05 18:14:13 GMT 2024","Wed Jun 05 18:14:13 GMT 2024","2","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","setup","setup",""
